rank,period_days,frequency_per_day,theta
1,131.82579611060018,0.00758576871525974,0.161567335423587
2,133.38161456199296,0.007497285163955045,0.18881048229603742
3,137.1982731139616,0.007288721478071125,0.2080776675160478
4,134.7572019150983,0.007420753665025151,0.21464435461572645
5,130.36274366567886,0.00767090329553469,0.22767764904480045
