rank,period_days,frequency_per_day,power
1,0.06103839223309229,16.383131393455095,0.4479557262888276
2,0.061028189862768575,16.385870238797125,0.11713573900231065
3,0.06501808920725935,15.380335106623663,0.09769523616520848
4,0.0650064674587543,15.383084777441354,0.09747929570211572
5,0.061048557669365476,16.380403373588724,0.08023834954981605
