2459671.6688 8.482 7.936
2459685.5764 0.000 0.000
2459979.7463 25.611 2.486
2459982.7631 33.431 3.387
2460033.6080 9.460 4.477
2460044.5713 8.801 3.760
2460046.5895 -8.140 4.722
2460067.5673 -9.839 4.351
2460070.5629 -13.102 3.908
2460326.7792 49.627 4.853
2460330.7517 42.559 4.128
2460343.7904 23.043 4.408
2460354.7072 8.222 4.589
2460356.7376 11.393 3.698
2460364.6939 17.432 3.642
2460367.7147 15.634 8.085
2460383.6778 19.039 3.883
2460389.6769 2.560 3.826
2460395.6187 8.382 3.778
2460402.6007 -10.314 4.331
2460404.6461 -8.214 4.097
2460727.7012 29.309 5.833
2460736.7012 10.473 5.807
2460738.7053 12.067 6.491
2460741.6765 3.643 5.844
2460743.6966 4.946 5.980
2460745.7153 -1.907 4.752
2460752.6488 6.941 6.426
2460755.6442 8.027 5.523
2460757.6851 4.815 5.208
2460761.6892 9.363 5.955
2460778.6095 1.640 5.699
2460780.6118 0.352 6.574
2461046.8418 17.031 9.301
2461048.7916 30.998 5.079
2461060.7992 42.243 6.718
2461084.7830 9.921 6.066
