2458562.6602028           0.6589147287
2458566.63514132          0.6774193548
2458590.58230111          0.625
2458902.71971726          0.5153061224
2458907.71893456          0.5282051282
2458916.67364087          0.5103092784
2458934.61161307          0.4639175258
2458942.58575886          0.4105263158
2458958.5822278           0.5089820359
2459189.90583094          0.6179775281
2459191.90345298          0.635359116
2459193.89307297          0.6195652174
2459194.90405478          0.6086956522
2459202.89102077          0.6263157895
2459206.87697586          0.6526315789
2459210.86490427          0.6787564767
2459219.83764735          0.6666666667
2459221.82886962          0.6649746193
2459227.80678408          0.6553398058
2459229.83174945          0.6586538462
2459231.83070438          0.6298076923
2459232.8106363           0.6390243902
2459233.78794894          0.619047619
2459234.8066718           0.619047619
2459238.81812068          0.63507109
2459243.77298948          0.6367924528
2459249.79855347          0.6136363636
2459251.76244181          0.623255814
2459253.76301129          0.6203703704
2459262.73111697          0.5507246377
2459265.73427727          0.5512195122
2459270.7083096           0.5588235294
2459277.7172476           0.615
2459280.70314417          0.6180904523
2459282.71371191          0.6281407035
2459284.70086687          0.6391752577
2459295.6690656           0.6526315789
2459298.63404937          0.6685082873
2459303.62762326          0.6875
2459308.60015327          0.6820809249
2459317.5736338           0.6647398844
2459587.82788039          0.5689655172
2459606.82349218          0.4230769231
2459609.75500462          0.4378378378
2459619.75401367          0.4315789474
2459625.72433293          0.3888888889
2459639.73010088          0.4528301887
2459665.66706728          0.5285714286
2459709.53710016          0.5665024631
2459939.84859813          0.7985074627
2459943.88995562          0.7819548872
2459952.81555854          0.864
2459959.83920382          0.937007874
2459979.80272125          0.9097744361
2459989.73423961          0.9302325581
2459994.72772141          0.8768115942
2460027.67051994          0.5974025974
2460031.65772409          0.6289308176
2460037.63486832          0.5766871166
2460039.60586729          0.5705521472
2460048.58515424          0.5029239766
2460069.58102705          0.6610169492
2460343.79789566          0.7153846154
2460347.75677812          0.6911764706
2460354.75103227          0.6544117647
2460361.71254481          0.6740740741
2460381.70518193          0.7246376812
2460390.67206556          0.7066666667
2460398.65333165          0.7077922078
2460401.62970188          0.6753246753
