hjd,camera,mag,mag_err,flux,flux_err
2456986.7728,ba,10.998,0.02,152.953,2.814
2457297.94154,ba,10.996,0.02,153.36,2.822
2456784.09717,bb,10.491,0.02,242.114,4.455
2458427.77381,bb,11.056,0.02,143.873,2.647
2456896.93152,bb,11.054,0.02,144.11,2.652
2457515.09913,ba,10.535,0.02,234.37,4.312
2456896.9315,ba,11.083,0.02,141.443,2.603
2457625.89095,bb,10.757,0.02,189.462,3.486
2458033.92343,ba,10.488,0.02,244.845,4.505
2456862.98948,bb,11.039,0.02,146.111,2.688
2457297.94135,bb,10.997,0.02,151.95,2.796
2457248.94462,bb,11.095,0.02,138.765,2.553
2458018.97525,bb,10.638,0.02,211.496,3.892
2457189.01445,bb,11.095,0.02,138.734,2.553
2456895.93816,ba,10.862,0.02,173.358,3.19
2457992.8172,ba,11.109,0.02,138.14,2.542
2457359.76124,ba,10.662,0.02,208.59,3.838
2458372.93583,bb,10.613,0.02,216.305,3.98
2456942.8618,ba,10.434,0.02,257.209,4.733
2457380.69576,ba,10.62,0.02,216.633,3.986
2456874.84701,bb,11.114,0.02,136.409,2.51
2457242.93076,ba,10.536,0.02,234.061,4.307
2457905.05308,ba,11.08,0.02,141.856,2.61
2457307.92011,ba,11.011,0.02,151.12,2.781
2457704.82138,ba,10.998,0.02,153.042,2.816
2457656.95715,bb,10.676,0.02,204.167,3.757
2457939.04794,bb,11.117,0.02,135.962,2.502
2456892.94428,ba,10.803,0.02,183.06,3.368
2456875.97333,ba,10.708,0.02,199.89,3.678
2458322.01152,ba,11.015,0.02,150.614,2.771
2457914.01107,ba,11.087,0.02,140.92,2.593
2457585.90939,ba,10.745,0.02,193.086,3.553
2456856.90595,ba,11.002,0.02,152.457,2.805
2457303.93006,ba,11.054,0.02,145.348,2.674
2457298.87671,bb,11.097,0.02,138.488,2.548
2456862.98925,ba,10.994,0.02,153.505,2.824
2457004.74026,ba,11.035,0.02,147.899,2.721
2456972.73912,ba,11.005,0.02,151.96,2.796
2456849.95968,ba,10.416,0.02,261.433,4.81
2457012.72212,ba,11.072,0.02,142.868,2.629
2457533.09167,ba,10.986,0.02,154.721,2.847
2457688.86985,bb,10.453,0.02,250.679,4.612
2456885.95703,ba,11.062,0.02,144.264,2.654
2456884.958,bb,10.962,0.02,156.926,2.887
2456917.90402,ba,10.587,0.02,223.387,4.11
2458018.97539,ba,10.705,0.02,200.427,3.688
2457307.91986,bb,10.996,0.02,151.989,2.797
2457677.90236,ba,10.964,0.02,157.882,2.905
2458076.8016,bb,11.08,0.02,140.752,2.59
2456982.77698,ba,10.451,0.02,253.116,4.657
2457271.02171,ba,11.11,0.02,137.978,2.539
2456973.78749,ba,11.058,0.02,144.727,2.663
2457309.84133,ba,10.948,0.02,160.191,2.948
2458445.80425,bb,10.576,0.02,223.759,4.117
2457364.74563,bb,11.021,0.02,148.545,2.733
2456491.91184,bb,10.509,0.02,238.137,4.382
2456892.94433,bb,10.803,0.02,181.535,3.34
2458004.99558,bb,10.641,0.02,210.818,3.879
2457695.85721,bb,11.045,0.02,145.336,2.674
2458361.02313,bb,10.494,0.02,241.392,4.442
2457697.84681,bb,10.466,0.02,247.62,4.556
2456888.08425,bb,11.096,0.02,138.677,2.552
2457928.0307,ba,10.731,0.02,195.626,3.6
2457321.79675,ba,10.695,0.02,202.238,3.721
2456475.9642,ba,11.039,0.02,147.287,2.71
2457179.05261,bb,11.093,0.02,139.051,2.559
2456998.69596,ba,11.052,0.02,145.534,2.678
2456847.00937,bb,11.094,0.02,138.843,2.555
2457529.06025,bb,11.069,0.02,142.135,2.615
2456462.02865,ba,11.025,0.02,149.215,2.746
2458296.97368,bb,11.147,0.02,132.247,2.433
2456915.0017,bb,11.039,0.02,146.112,2.688
2457359.76087,bb,10.7,0.02,199.691,3.674
2457174.07265,ba,10.4,0.02,265.52,4.886
2458430.8311,ba,11.172,0.02,130.293,2.397
2456464.96865,ba,11.092,0.02,140.337,2.582
2458096.7386,bb,10.67,0.02,205.305,3.778
2456484.97812,bb,11.003,0.02,151.087,2.78
2458322.893,ba,10.934,0.02,162.324,2.987
2458395.94325,ba,10.545,0.02,232.223,4.273
2456820.04056,ba,10.998,0.02,153.035,2.816
2457136.12269,ba,10.867,0.02,172.661,3.177
2456916.89477,ba,11.054,0.02,145.267,2.673
2456820.04093,bb,10.99,0.02,152.877,2.813
2457227.02897,ba,11.059,0.02,144.665,2.662
2458337.97035,ba,10.924,0.02,163.76,3.013
2458008.99674,bb,11.135,0.02,133.713,2.46
2457886.08278,bb,10.561,0.02,226.907,4.175
2457203.95578,ba,11.093,0.02,140.238,2.58
2457704.82103,bb,10.985,0.02,153.533,2.825
2456993.78276,ba,10.862,0.02,173.386,3.19
2456536.86963,bb,11.034,0.02,146.86,2.702
2456902.9218,bb,11.093,0.02,139.061,2.559
2458308.06585,bb,11.05,0.02,144.692,2.662
2458327.94854,ba,10.556,0.02,229.846,4.229
2457327.84357,ba,10.897,0.02,167.952,3.09
2458038.72429,ba,11.151,0.02,132.893,2.445
2457547.05627,bb,11.126,0.02,134.876,2.482
2457581.02866,bb,10.802,0.02,181.799,3.345
2456973.78714,bb,11.074,0.02,141.5,2.604
2457317.78526,bb,11.189,0.02,127.324,2.343
2458363.02681,ba,11.124,0.02,136.265,2.507
2457559.98058,ba,11.013,0.02,150.963,2.778
2457498.13159,ba,10.531,0.02,235.229,4.328
2457261.93171,bb,10.997,0.02,151.85,2.794
2456516.94988,ba,10.854,0.02,174.689,3.214
2456895.93819,bb,10.875,0.02,170.009,3.128
2457003.7351,bb,10.915,0.02,163.73,3.013
2456533.92949,bb,11.014,0.02,149.463,2.75
2458423.85484,bb,10.984,0.02,153.675,2.828
2457503.11446,bb,11.119,0.02,135.789,2.499
2456460.02858,bb,11.073,0.02,141.569,2.605
2456478.00794,bb,10.86,0.02,172.306,3.17
2457879.10315,bb,11.096,0.02,138.633,2.551
2456536.86964,ba,11.069,0.02,143.341,2.637
2456865.98667,ba,11.048,0.02,146.173,2.69
2457327.84324,bb,10.828,0.02,177.425,3.265
2457587.09992,bb,11.091,0.02,139.25,2.562
2458310.04166,bb,11.068,0.02,142.246,2.617
2457905.05346,bb,11.132,0.02,134.083,2.467
2456520.89508,ba,10.808,0.02,182.349,3.355
2457136.123,bb,10.895,0.02,166.92,3.071
2457954.05768,ba,11.136,0.02,134.689,2.478
2456969.82338,bb,11.073,0.02,141.613,2.606
2456849.95996,bb,10.424,0.02,257.466,4.737
2457548.05288,bb,10.545,0.02,230.358,4.239
2457639.92348,bb,10.592,0.02,220.541,4.058
2457261.93168,ba,10.988,0.02,154.378,2.841
2456916.89467,bb,11.07,0.02,141.97,2.612
2456985.77305,ba,10.426,0.02,259.066,4.767
2456868.97351,ba,11.027,0.02,148.956,2.741
2458020.91262,bb,10.938,0.02,160.414,2.952
2458091.75018,ba,11.09,0.02,140.571,2.587
2456868.9737,bb,11.054,0.02,144.052,2.651
2456917.90392,bb,10.611,0.02,216.701,3.987
2456890.93692,ba,10.927,0.02,163.327,3.005
2457879.10281,ba,11.136,0.02,134.788,2.48
2458076.80197,ba,11.106,0.02,138.531,2.549
2458079.78877,ba,11.069,0.02,143.373,2.638
2456505.97744,bb,11.015,0.02,149.415,2.749
2456915.00179,ba,11.056,0.02,145.032,2.669
2457242.93091,bb,10.571,0.02,224.865,4.138
2456920.89621,ba,10.635,0.02,213.747,3.933
2456894.93225,bb,11.041,0.02,145.884,2.684
2457011.72817,bb,10.91,0.02,164.595,3.029
2456914.00463,ba,10.862,0.02,173.475,3.192
2456914.00454,bb,10.865,0.02,171.578,3.157
2457203.95611,bb,11.078,0.02,140.915,2.593
2457505.11549,ba,11.092,0.02,140.369,2.583
2458416.8655,bb,11.037,0.02,146.337,2.693
2458026.76291,bb,11.128,0.02,134.614,2.477
2458306.12162,bb,11.066,0.02,142.539,2.623
2456818.05011,ba,10.802,0.02,183.361,3.374
2458280.07323,bb,11.175,0.02,128.861,2.371
2457636.99023,bb,10.427,0.02,256.806,4.725
2457706.78235,ba,11.054,0.02,145.359,2.675
2458280.07286,ba,11.216,0.02,125.215,2.304
2456540.85909,bb,10.419,0.02,258.557,4.757
2456967.85731,bb,11.022,0.02,148.416,2.731
2457499.12817,ba,11.059,0.02,144.65,2.662
2456544.90313,bb,10.81,0.02,180.425,3.32
2458096.73897,ba,10.724,0.02,196.862,3.622
2458075.8047,bb,10.747,0.02,191.187,3.518
2457185.06409,bb,10.49,0.02,242.326,4.459
2456452.0362,bb,11.09,0.02,139.439,2.566
2457314.71703,ba,10.848,0.02,175.753,3.234
2457377.6947,bb,10.474,0.02,245.931,4.525
2458445.80462,ba,10.663,0.02,208.287,3.832
