period_days,frequency_per_day,mean_local_wavelet_power,mean_wwz_like_statistic
0.741787607625,1.3480947776975207,0.37404729956377486,1.0861294066401894
0.7438567501846234,1.3443448617651215,0.40100329756031106,1.0764813301484097
0.7459258927442468,1.3406157498046078,0.334594033288231,0.7533932299589399
0.7479950353038702,1.3369072691689106,0.29900469965166226,0.33079073200950543
0.7500641778634937,1.3332192491160308,0.314114649896977,0.3784488986114558
0.7521333204231171,1.3295515207828368,0.3705566817571469,1.2521003413934828
0.7542024629827405,1.32590391715929,0.35759076304539417,3.7693689380476965
0.756271605542364,1.3222762730630948,0.416626595074368,24.113670928520794
0.7583407481019874,1.3186684251147645,0.4996979914251044,8.705217322375441
0.7604098906616108,1.3150802117130918,0.3585971059296027,2.4923298073774083
0.7624790332212342,1.311511473011021,0.5154453064259484,1.9363260311952148
0.7645481757808577,1.3079620508919112,0.4794016571687489,2.985785000908953
0.7666173183404811,1.304431788946184,0.4315132633137985,4.584202814952063
0.7686864609001045,1.3009205324483477,0.4072488824352271,6.9178490470368
0.770755603459728,1.2974281283343922,0.539601393830634,11.222084873231054
0.7728247460193515,1.2939544251795478,0.5518887125526012,18.90422478031334
0.7748938885789749,1.2904992731763982,0.5659275625297041,25.068357963964903
0.7769630311385983,1.2870625241133453,0.5086681673859414,21.18541862850959
0.7790321736982218,1.283644031353416,0.46410976598020265,16.750646413832758
0.7811013162578452,1.2802436498134069,0.3946021953598592,8.661941711440912
0.7831704588174686,1.2768612359433584,0.40988089982282083,3.4026097723824145
0.785239601377092,1.2734966477063534,0.4306478759703268,1.3452942262373395
0.7873087439367155,1.2701497445586363,0.3834255655418662,0.5978235779184664
0.7893778864963389,1.2668203874300423,0.2866250813445413,0.41866306868764613
0.7914470290559623,1.263508438704735,0.3155232221429466,1.2252704154410654
0.7935161716155857,1.2602137622022456,0.2722302467928331,0.47083549961923726
0.7955853141752092,1.2569362231588066,0.19075838819101568,0.41845076920087726
0.7976544567348326,1.2536756882089783,0.17964661438802926,0.458230826822584
0.799723599294456,1.250432025367558,0.3544818780685249,0.9370294171920287
0.8017927418540794,1.2472051040117706,0.4241535776399454,16.87916119649369
0.8038618844137029,1.2439947948637353,0.4529686592709113,2.269881755061599
0.8059310269733263,1.2408009699731994,0.5104594704008816,3.3782509357736314
0.8080001695329497,1.2376235027005407,0.43229096947991474,1.6657985303139256
0.8100693120925732,1.2344622677000285,0.44603660265568956,1.497690574296363
0.8121384546521966,1.2313171409033405,0.4790597038207971,1.2551589134919379
