time,time_minus_start_days,ridge_period_days,ridge_frequency_per_day,ridge_wwz
2456221.7937057,0.0,0.06243377781694561,16.01697086042073,15.580292046753652
2456268.447591488,46.65388578781858,0.06243377781694561,16.01697086042073,14.98948254267174
2456315.1014772756,93.30777157563716,0.06243377781694561,16.01697086042073,13.35220754063758
2456361.7553630634,139.96165736345574,0.053411036392259414,18.722722260168027,14.740761027146204
2456408.4092488517,186.61554315173998,0.0738772547458159,13.535965886125943,15.104370802007315
2456455.0631346395,233.26942893955857,0.0738772547458159,13.535965886125943,15.749364225292057
2456501.7170204273,279.92331472737715,0.0738772547458159,13.535965886125943,15.733784787338402
2456548.370906215,326.5772005151957,0.0738772547458159,13.535965886125943,15.128224156207098
2456595.024792003,373.2310863030143,0.0738772547458159,13.535965886125943,13.831521611913214
2456641.678677791,419.8849720908329,0.05561170503242678,17.98182593784721,13.849576970031686
2456688.3325635786,466.53885787865147,0.05737223994456067,17.430032380926896,13.192990043438195
2456734.9864493664,513.19274366647,0.05737223994456067,17.430032380926896,12.492005995879689
2456781.6403351547,559.8466294547543,0.05737223994456067,17.430032380926896,10.90769129340217
2456828.2942209425,606.5005152425729,0.07211671983368201,13.866409929711633,9.86303721216218
2456874.9481067304,653.1544010303915,0.07211671983368201,13.866409929711633,9.540077764323316
2456921.601992518,699.80828681821,0.07475752220188285,13.376580316553268,9.931522729449618
2456968.255878306,746.4621726060286,0.06958595089748953,14.370716891878777,10.756106734197468
2457014.909764094,793.1160583938472,0.06958595089748953,14.370716891878777,11.31374758665141
2457061.5636498816,839.7699441816658,0.06958595089748953,14.370716891878777,10.82477982410605
2457108.2175356694,886.4238299694844,0.06958595089748953,14.370716891878777,9.058753508036485
2457154.8714214577,933.0777157577686,0.07475752220188285,13.376580316553268,7.694633014931313
2457201.5253072456,979.7316015455872,0.07475752220188285,13.376580316553268,7.891245723736191
2457248.1791930334,1026.3854873334058,0.07475752220188285,13.376580316553268,9.005147765676455
2457294.833078821,1073.0393731212243,0.07475752220188285,13.376580316553268,10.425356705350213
2457341.486964609,1119.693258909043,0.07475752220188285,13.376580316553268,11.150877574557262
2457388.140850397,1166.3471446968615,0.07475752220188285,13.376580316553268,10.266942632722413
2457434.7947361846,1213.00103048468,0.05462140414435147,18.30784132457006,8.823188010100202
2457481.448621973,1259.6549162729643,0.05462140414435147,18.30784132457006,9.639286594619417
2457528.1025077607,1306.308802060783,0.05462140414435147,18.30784132457006,8.590506810734817
2457574.7563935486,1352.9626878486015,0.07343712101778244,13.617091549079857,8.715144239011234
2457621.4102793364,1399.61657363642,0.05946287515271967,16.81721574060589,8.94985099907843
2457668.064165124,1446.2704594242387,0.05946287515271967,16.81721574060589,9.974614875713936
2457714.718050912,1492.9243452120572,0.05946287515271967,16.81721574060589,11.40200826465338
2457761.3719367,1539.5782309998758,0.05946287515271967,16.81721574060589,12.716752511694512
2457808.0258224877,1586.2321167876944,0.05946287515271967,16.81721574060589,12.714030502295733
2457854.679708276,1632.8860025759786,0.05946287515271967,16.81721574060589,10.922609129052177
2457901.3335940638,1679.5398883637972,0.06100334320083682,16.39254420381148,10.818654765529647
2457947.9874798516,1726.1937741516158,0.06100334320083682,16.39254420381148,12.402876166135435
2457994.6413656394,1772.8476599394344,0.06100334320083682,16.39254420381148,13.121100719530359
2458041.295251427,1819.501545727253,0.06100334320083682,16.39254420381148,12.967756490227515
2458087.949137215,1866.1554315150715,0.06100334320083682,16.39254420381148,11.78034324077631
2458134.603023003,1912.8093173028901,0.06496454675313808,15.393011265051204,9.991787411043548
2458181.256908791,1959.4632030911744,0.07299698728974896,13.699195502831813,9.0898172184872
2458227.910794579,2006.117088878993,0.07299698728974896,13.699195502831813,9.389376450733897
2458274.564680367,2052.7709746668115,0.07299698728974896,13.699195502831813,8.918953532295527
2458321.2185661546,2099.42486045463,0.07299698728974896,13.699195502831813,7.97399029077853
2458367.8724519424,2146.0787462424487,0.07497758906589959,13.337318690269917,7.5769191532936935
2458414.52633773,2192.7326320302673,0.06881571687343097,14.531564087884837,8.096980854264073
2458461.180223518,2239.386517818086,0.06881571687343097,14.531564087884837,10.001526268392732
2458507.834109306,2286.0404036059044,0.06881571687343097,14.531564087884837,11.821196070849345
2458554.487995094,2332.6942893941887,0.06881571687343097,14.531564087884837,12.939118306025357
2458601.141880882,2379.3481751820073,0.06881571687343097,14.531564087884837,12.996514037310826
2458647.79576667,2426.002060969826,0.06881571687343097,14.531564087884837,12.260163858164418
2458694.4496524576,2472.6559467576444,0.06881571687343097,14.531564087884837,11.210360467786634
2458741.1035382454,2519.309832545463,0.06881571687343097,14.531564087884837,10.104846083220181
2458787.7574240332,2565.9637183332816,0.06881571687343097,14.531564087884837,8.956986728693115
2458834.411309821,2612.6176041211,0.06881571687343097,14.531564087884837,7.664973106347479
2458881.065195609,2659.2714899089187,0.05715217308054393,17.497147459130048,7.525246911706016
2458927.719081397,2705.925375697203,0.05715217308054393,17.497147459130048,7.3675851853865995
2458974.372967185,2752.5792614850216,0.05055016716004184,19.782328252921495,6.756383193209102
2459021.026852973,2799.23314727284,0.051430434616108786,19.443740024059313,7.740105290765873
2459067.6807387606,2845.8870330606587,0.051430434616108786,19.443740024059313,9.856167936489557
2459114.3346245484,2892.5409188484773,0.051430434616108786,19.443740024059313,10.295636662644277
2459160.9885103363,2939.194804636296,0.051430434616108786,19.443740024059313,9.163456582348232
2459207.642396124,2985.8486904241145,0.05583177189644352,17.910948659390478,9.671619407469432
2459254.2962819124,3032.5025762123987,0.05583177189644352,17.910948659390478,11.325761421526044
2459300.9501677,3079.1564620002173,0.05583177189644352,17.910948659390478,11.530254632285295
2459347.604053488,3125.810347788036,0.05583177189644352,17.910948659390478,10.357706770550024
2459394.257939276,3172.4642335758545,0.05583177189644352,17.910948659390478,8.642967926574215
2459440.9118250636,3219.118119363673,0.07343712101778244,13.617091549079857,7.655952520454108
2459487.5657108515,3265.7720051514916,0.07343712101778244,13.617091549079857,8.059760282364273
2459534.2195966393,3312.42589093931,0.07552775622594143,13.24016560227869,8.127090189236256
2459580.873482427,3359.079776727129,0.07552775622594143,13.24016560227869,9.740138416939184
2459627.5273682154,3405.733662515413,0.07552775622594143,13.24016560227869,11.09365334797363
2459674.181254003,3452.3875483032316,0.07552775622594143,13.24016560227869,11.723750400759153
2459720.835139791,3499.04143409105,0.05099030088807532,19.611572839999887,13.02827026121162
2459767.489025579,3545.6953198788688,0.05099030088807532,19.611572839999887,13.410293929955243
2459814.1429113667,3592.3492056666873,0.05099030088807532,19.611572839999887,12.058925856989754
2459860.7967971545,3639.003091454506,0.05099030088807532,19.611572839999887,9.916529173991234
2459907.4506829423,3685.6569772423245,0.05187056834414226,19.27875540837273,8.903291206931113
2459954.1045687306,3732.3108630306087,0.05187056834414226,19.27875540837273,8.65344377099941
2460000.7584545184,3778.9647488184273,0.07442742190585774,13.435908088619362,7.8015428539363825
2460047.412340306,3825.618634606246,0.05759230680857741,17.363430211673112,8.522638298724967
2460094.066226094,3872.2725203940645,0.06100334320083682,16.39254420381148,9.999504256717309
2460140.720111882,3918.926406181883,0.06100334320083682,16.39254420381148,11.516933664544856
2460187.3739976697,3965.5802919697016,0.06100334320083682,16.39254420381148,12.223773414381792
2460234.0278834575,4012.2341777575202,0.06100334320083682,16.39254420381148,11.81737248994705
2460280.6817692453,4058.888063545339,0.06100334320083682,16.39254420381148,10.200535461161273
2460327.3356550336,4105.541949333623,0.06485451332112971,15.419127348137826,8.803789053908687
2460373.9895408214,4152.195835121442,0.056602005920502095,17.66721839159741,8.115994910233795
2460420.643426609,4198.84972090926,0.056602005920502095,17.66721839159741,10.885453860437654
2460467.297312397,4245.503606697079,0.056602005920502095,17.66721839159741,11.970051249706735
2460513.951198185,4292.157492484897,0.056602005920502095,17.66721839159741,11.638416931369502
2460560.6050839727,4338.811378272716,0.056602005920502095,17.66721839159741,10.455577943057829
2460607.2589697605,4385.4652640605345,0.056602005920502095,17.66721839159741,8.699863833090244
2460653.9128555483,4432.119149848353,0.06672508166527197,14.986868131784759,6.931767893983377
2460700.5667413366,4478.773035636637,0.07486755563389122,13.356920651851997,6.45935766786823
2460747.2206271244,4525.426921424456,0.07486755563389122,13.356920651851997,6.342002038186759
2460793.8745129122,4572.0808072122745,0.07486755563389122,13.356920651851997,6.220204544666956
2460840.5283987,4618.734693000093,0.07486755563389122,13.356920651851997,6.084269141811428
