iteration,period_days
1,132.36057029986614
2,132.68744048355921
3,131.7140078712273
4,131.90810719539334
5,133.41058571140934
6,134.35207600091672
7,134.1958201770859
8,132.0583246914748
9,132.92077832845
10,132.38289964595927
11,133.07039975301626
12,133.90617212763763
13,132.4390661612625
14,133.52927452151403
15,132.50016825360976
16,131.22307746821093
17,132.20140748737828
18,132.98215595467778
19,131.89573673742754
20,133.75210122581672
21,132.57492909578772
22,134.32950056611162
23,132.98477914512074
24,132.86757111910168
25,131.78780226802638
26,132.34221759707216
27,132.9232201385811
28,132.39874938899413
29,132.52109539854254
30,132.56136635034517
31,133.7219829390777
32,133.24819860425734
33,133.2564598207146
34,132.30545854721422
35,132.64982183556538
36,133.14847803824065
37,132.6510640565326
38,132.8333810601501
39,131.73591669768132
40,133.01718275559088
41,134.7763044871891
42,133.55015852728692
43,132.1324550644542
44,132.73740362278699
45,132.69320198988885
46,132.61337944358317
47,132.58509552883967
48,131.4337494780763
49,133.19128845869037
50,132.40562383996755
51,132.1891537375043
52,131.63162756173622
53,133.44918297126006
54,132.77023517009144
55,132.9144788880865
56,133.45788309296904
57,132.9440802481268
58,133.35134264188136
59,132.89990918224677
60,132.09581154843437
61,132.32320619159432
62,132.89086311685085
63,133.0518198680253
64,133.2481173301118
65,133.05787503406498
66,133.49579588017062
67,132.90840249245056
68,132.78712481527398
69,133.9341721722061
70,132.63828239707792
71,134.1198907831698
72,132.76039744432362
73,132.9813277626359
74,131.79437215502224
75,132.1336192000976
76,133.02952452816712
77,134.51041661655898
78,132.30787154696873
79,135.47399811998395
80,134.35838369493814
81,133.393168338668
82,134.04700951219337
83,132.73841909866366
84,133.07127358026784
85,132.6647435930549
86,133.7181170488143
87,132.72016204826045
88,132.64351037602924
89,132.50944477577667
90,132.29845074586817
91,133.97046968866618
92,133.1536017402761
93,132.87461918203658
94,132.98332322502594
95,134.01536119267502
96,131.7558192731375
97,132.54566744779538
98,133.89802130123536
99,133.1748291588146
100,132.19438358777427
101,133.82177796771379
102,133.93089421296486
103,132.88105559700767
104,133.49205258835147
105,132.89210884414857
106,133.08025845847425
107,131.93819607007043
108,133.42948677500866
109,133.58689213961472
110,133.49738459431148
111,132.35017141766076
112,132.3573642227213
113,132.97976664974854
114,132.2206430790548
115,132.43783684806058
116,133.28893040936882
117,133.7160242660534
118,132.14860921622662
119,134.11678669551
120,133.21408639538487
121,134.37135464030007
122,133.3116390655583
123,132.66976595578387
124,132.6160949308553
125,133.28548134765677
126,133.14307111864514
127,132.7157253782702
128,132.54508229656074
129,132.14035218760839
130,132.80394629721567
131,133.46480440451393
132,133.77533261516018
133,133.07507780679188
134,132.70485400276888
135,133.16555753479412
136,133.03394105283238
137,133.2602771133863
138,131.7880720816777
139,132.66268933820797
140,132.72635166420537
141,132.9767152733604
142,133.05575021616693
143,132.82043777817657
144,132.77769303055427
145,132.08180236786032
146,133.33712377947646
147,132.9725437658382
148,133.07774181858872
149,133.3563097136931
150,133.13962629746987
151,132.71684180439505
152,133.16532537360553
153,132.22254323390342
154,133.2382166105659
155,132.74003196876714
156,133.2999023323022
157,132.79809711900964
158,132.38175961609466
159,132.75431063356814
160,132.6522280810499
161,132.80957459242833
162,134.1300660908376
163,132.96016721414435
164,133.12590972120643
165,132.4424804522439
166,133.03012071668235
167,132.0875071104771
168,134.15362962552095
169,134.27320561078687
170,132.5993650760943
171,133.5271592799657
172,132.61836435628965
173,132.79233425754168
174,132.5088690609617
175,132.82509585562582
176,133.93244765158184
177,133.35935116496321
178,132.19255060908162
179,133.64376140028054
180,132.86978930036275
181,132.84686879641913
182,132.59016786987752
183,134.10381723521655
184,132.46645454050326
185,131.7572843568186
186,132.95580846500673
187,134.3274645778362
188,132.06374578776476
189,133.9374275284234
190,132.73811922013994
191,131.87540417431035
192,132.91184184650731
193,132.1265124333254
194,134.14954179338233
195,133.48550838961913
196,134.10519315698048
197,131.594790613251
198,134.27085429030842
199,132.4527929590698
200,133.19429414375588
201,132.98297160632654
202,133.03968155274563
203,133.6083816814734
204,133.86670082607282
205,133.30319258908082
206,133.42775678842958
207,132.62186641408286
208,133.04734323405705
