rank,period_days,frequency_per_day,fourier_power,semi_amplitude
1,0.0610383922,16.3831314023373,0.4451969985292914,0.19590627672511793
2,0.06102799143955415,16.38592351495725,0.10447766569682922,0.08154618747533554
3,0.061048796506171475,16.38033928971735,0.06751119593681587,0.06776272679811825
4,0.06039598478291059,16.55739207820577,0.02315338596605345,0.03699495779423905
5,0.060902239824252545,16.419757350234253,0.019833743160485497,0.03395175037615787
